adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
UQCRC1,MNAT1,ZNF263,RANBP9,ZNF263,MRC2,AGK,TTC22,PDK2,PNPLA4,TMEM132A,BID,,TSR3,ELAC2,MAP4K3,TSPAN9,,CLK1,RUNX3,,SEC62,USH1C,,ELAC2,,RPUSD1,GGCT,CYTH3,GLT8D1,MRC2,PNPLA4,PNPLA4,ATP1A2,,NADK,BTBD7,SYT13,,E2F2,RNF216,PAFAH1B1,,PHTF2,CYTH3,TBPL1,PROM1,CDKL5,CDKL5,GTF2IRD1,CD74,WAS,TMEM132A,,PSMC4,RALA,PHLDB1,VTA1
NCAPD2,OSBPL5,RALA,NCAPD2,CX3CL1,SYT7,ALDH3B1,FARP2,ITGA3,ADIPOR2,AP2B1,NPC1L1,,PIGQ,PAFAH1B1,ZBTB32,RNF216,,MAMLD1,HSD17B6,,RPS20,GGCT,,PNPLA4,,BAIAP3,IFRD1,CYB561,RUFY3,MBTD1,MARK4,ADIPOR2,VSIG2,,SPAG9,MBTD1,CD74,,AASS,LARS2,NOS2,,USH1C,SYPL1,ABCF2,CEACAM21,CDK11A,SYPL1,VPS41,MNAT1,SLC11A1,TNFRSF12A,,RWDD2A,PHTF2,SYT13,METTL13
IFFO1,SLC45A4,KDM7A,IDS,MAP3K9,LARS2,TTC22,COX10,ZFX,CEACAM21,CX3CL1,RGPD5,,PSMB1,CEACAM7,TYROBP,LDAF1,,UFL1,NCAPH2,,REV3L,IFRD1,,CEACAM21,,PIGQ,PAF1,AASS,VSIG2,RNF216,CEACAM21,MARK4,SYT13,,MPND,UTP18,SAMD4A,,MGST1,TYROBP,RPUSD1,,GGCT,CYB561,CLXN,PAFAH1B1,SYPL1,CYB561,PNPLA4,SAMD4A,AGPS,BAIAP2L1,,CLK1,FARP2,SAMD4A,STARD3NL
ELOA,VIM,PHTF2,ZNF200,RALA,PSMC4,FARP2,GTF2IRD1,REX1BD,RPUSD1,SPATA20,PHLDB1,,CDKL5,RPUSD1,MVP,NUB1,,POLA2,TBPL1,,FAM76A,VPS41,,NOS2,,CRAMP1,VPS41,SS18L2,CD74,PPP5C,BLTP2,TRAPPC6A,SAMD4A,,MGST1,RNF216,GRAMD1B,,MMP25,LDAF1,BAIAP3,,IFRD1,SPAG9,SH3YL1,NOS2,CYB561,PLEKHG6,MARK4,SLC45A4,MNAT1,KDM7A,,DNASE1L1,GGCT,FHL1,NISCH
NME1-NME2,MIPEP,USH1C,MRC2,BAIAP2L1,CLK1,USH1C,VPS41,TMEM98,PIGQ,TNFRSF12A,CD74,,DLEC1,PIGQ,HEBP1,CLK1,,ZC3H3,BMAL2,,POMT2,SCIN,,MATK,,CDKL5,PROM1,MGST1,MNAT1,MBTPS2,MATK,MATK,FHL1,,REV3L,TYROBP,BIRC3,,HEATR5B,ALOX5,PIGQ,,GTF2IRD1,AASS,DEPDC1B,CRAMP1,PLEKHG6,SEC62,CEACAM21,RNH1,SAMD4A,AGK,,UFL1,IFRD1,AKAP11,ZNF200
MBTD1,VRK2,IFRD1,AKAP8L,AGK,HEBP1,IFRD1,ARHGAP44,MAP3K14,CRAMP1,BAIAP2L1,ZRANB1,,CYB561,CRAMP1,GPRC5A,TACC3,,MDH1,ABCF2,,VTA1,PNPLA4,,RPUSD1,,SYPL1,TRAPPC6A,CRY1,SLC45A4,HEBP1,RPUSD1,PAX6,SLC45A4,,POMT2,LDAF1,HSD17B6,,REV3L,MAP4K5,CRAMP1,,VPS41,MGST1,STAP1,E2F2,ST3GAL1,CSDE1,PAFAH1B1,BIRC3,GLRX2,ALDH3B1,,ZC3H3,VPS41,DEPDC1,HFE
UTP18,TBPL1,COX10,UTP18,ALDH3B1,ZC3H3,GTF2IRD1,ELAC2,ABCC8,E2F2,AGK,MNAT1,,SPAG9,FMO3,MAMLD1,UFL1,,WAS,MYOC,,ZNF200,BLTP2,,PIGQ,,AASS,TSR3,NFIX,DEPDC1,GPRC5A,TSR3,RPUSD1,BIRC3,,VTA1,ERCC1,POU2F2,,FAM76A,MVP,PSMB1,,PNPLA4,NFIX,FBXO42,PSMB1,MMP25,TRAF3IP3,CD79B,GLRX2,DEF6,PHTF2,,MTMR11,ELAC2,HSD17B6,FMO1
TTC19,ARHGAP31,ELAC2,TTC19,TTC22,MDH1,PAF1,PNPLA4,TMEM132A,NADK,ALDH3B1,SAMD4A,,AASS,PSMB1,ZC3H3,MTMR11,,CHDH,MYOM2,,MRC2,TRAPPC6A,,CRAMP1,,MPND,PIGQ,MMP25,CCDC28A,RGPD5,PIGQ,CRAMP1,STRAP,,NCAPD2,MBTPS2,TBPL1,,TRAF3IP3,NUB1,CYTH3,,ADIPOR2,ST3GAL1,MFAP3,CDKL5,HEATR5B,METTL13,BAIAP3,DEF6,DEPDC1,USH1C,,WAS,SCIN,TYMP,MRC2
LARS2,CENPQ,PNPLA4,LARS2,USH1C,RGPD5,VPS41,MARK4,CX3CL1,CYTH3,TTC22,SLC45A4,,ST3GAL1,CDKL5,COX15,COX15,,GLT8D1,VCAN,,APBA3,RPUSD1,,FMO3,,CRY1,E2F2,CSDE1,SEC63,IL20RA,CRAMP1,FMO3,NCAPH2,,IDS,PSMC4,FAM13B,,POMT2,PGM3,SYPL1,,MARK4,PKD1,CLEC16A,CDK11A,RPS20,UQCRC1,E2F2,DEPDC1,TOMM34,ARHGAP44,,IL20RA,PNPLA4,BTN3A1,MBTD1
RABGAP1,MAP2K3,ADIPOR2,PPP5C,GTF2IRD1,AGPS,SCIN,GAS7,SPATA20,AASS,USH1C,RNH1,,MMP25,DLEC1,BID,RGPD5,,SLC38A5,RIPOR1,,MKS1,TSR3,,PSMB1,,MMP25,CDKL5,VTA1,KPNA6,GLT8D1,PSMB1,E2F2,TOMM34,,HFE,RWDD2A,CENPQ,,VTA1,CLK1,CYB561,,PROM1,HEATR5B,CDH1,SYPL1,CSDE1,NCAPD2,PSMB1,RRAGD,BTN3A1,ARSD,,RUFY3,MARK4,MIPEP,LARS2
CEP68,VCL,CEACAM21,CEP68,PAF1,VSIG2,ARSD,RPUSD1,TNFRSF12A,MGST1,IFRD1,TBPL1,,HEATR5B,CYB561,RGPD5,GLT8D1,,RALBP1,AIFM2,,UTP18,E2F2,,CDK11A,,SEC62,NADK,RANBP9,VIM,ATP2C1,CDKL5,CDKL5,RNASET2,,MRC2,DDX11,FUT8,,STARD3NL,DDX11,AASS,,CCDC124,CSDE1,SLC66A1,CYB561,BAZ1B,FUZ,CDK11A,BTN3A1,TBPL1,PNPLA4,,SLC11A1,CEACAM21,TBPL1,TYROBP
LDAF1,MRI1,RPUSD1,MAP4K3,ARHGAP44,MNAT1,PNPLA4,BAIAP3,BAIAP2L1,ST3GAL1,PAF1,CLXN,,SEC62,AASS,ISL1,ATP2C1,,SLC11A1,CAPG,,RNF216,PSMB1,,CYTH3,,RPS20,SYPL1,NCAPD2,SNX1,SLC11A1,CDK11A,CDK11A,B4GALT7,,NME1-NME2,HEBP1,SLC4A7,,FUZ,MAMLD1,RHOBTB2,,PAFAH1B1,UBE3C,LCP2,AASS,METTL13,IDS,CYB561,TBPL1,TFB1M,ADIPOR2,,VSIG2,BLTP2,HMGB3,PRICKLE3
BRCA1,RIPOR1,BAIAP3,MBTPS2,BLTP2,NDUFS1,ADIPOR2,PIGQ,KDM7A,MMP25,VPS41,DEPDC1B,,CSDE1,NFIX,GLT8D1,SLC38A5,,VSIG2,JADE2,,PTBP1,CDKL5,,PLEKHG6,,CSDE1,SPAG9,FUZ,TBPL1,STEEP1,NADK,NADK,TBPL1,,BTBD7,MAMLD1,DEPDC1B,,ZNF200,MDH1,HEATR5B,,BLTP2,TRAF3IP3,EPHA3,ST3GAL1,UQCRC1,HFE,AASS,RABEP1,SLC18A1,PRSS21,,SYT13,BAIAP3,ABCF2,MAP4K5
MBTPS2,RIPOR3,PIGQ,MAP4K5,TRAPPC6A,BIRC3,CEACAM21,E2F2,AGK,PKD1,ARHGAP44,NSMAF,,VTA1,PKD1,SLC11A1,RUFY3,,PHLDB1,TRIT1,,RABGAP1,NADK,,MPND,,STARD3NL,AASS,ZNF200,BMAL2,ZNF582,SYPL1,SYPL1,RABEP1,,MBTD1,POLA2,FBXO42,,ELOA,BID,CSDE1,,TRAPPC6A,VTA1,WDR37,HEATR5B,NCAPD2,FYN,MPND,ARHGAP31,RIPOR1,TRAPPC6A,,CD74,PIGQ,CHPF2,EHD3
DDX11,TDP1,CRAMP1,PSMC4,MATK,DEPDC1,NOS2,CYTH3,ALDH3B1,CSDE1,ELAC2,CASR,,BAZ1B,CSDE1,VSIG2,SLC11A1,,ZRANB1,XK,,QPCTL,SYPL1,,RPS20,,NCAPD2,NFIX,HFE,FAM13B,PHLDB1,AASS,AASS,ARHGAP31,,UTP18,ZC3H3,PHLPP2,,MRC2,RGPD5,VTA1,,RPUSD1,UQCRC1,XK,SEC62,GIPR,ELOA,MGST1,SLC18A1,RETSAT,MATK,,MNAT1,CRAMP1,ATP6V0A1,MVP
ATP2C1,AIFM2,CDK11A,MVP,RPUSD1,NCAPH2,GAS7,SYPL1,TTC22,TRAF3IP3,SCIN,FBXO42,,METTL13,POMT2,PHLDB1,AGPS,,MNAT1,USP28,,BRCA1,CYB561,,UBE3C,,NISCH,ST3GAL1,ELOA,SARS1,ZRANB1,ST3GAL1,SS18L2,EIPR1,,TTC19,MDH1,RAB27B,,BTBD7,NUDCD3,BAZ1B,,BAIAP3,STARD3NL,NOP16,RPS20,FUZ,MRC2,CRY1,FLT4,CAPG,PAX6,,SAMD4A,FMO3,GABARAPL2,NUB1
RUFY3,DCUN1D1,NADK,PGM3,TSR3,KPNA6,TRAPPC6A,CYB561,PHTF2,POMT2,ADIPOR2,CDH1,,UQCRC1,VTA1,MNAT1,ZNF582,,SAMD4A,KITLG,,EHD3,AASS,,IYD,,STAB1,MMP25,MRC2,RANBP3,MNAT1,RHOBTB2,ST3GAL1,MYOC,,DPF1,BID,AIFM2,,ABHD5,ISL1,HHATL,,PIGQ,IFFO1,SNX29,CSDE1,IDS,NME1-NME2,ST3GAL1,CLEC16A,LCP2,RPUSD1,,NDUFS1,E2F2,DEPDC1B,RWDD2A
ATP1A2,JADE2,CYTH3,RWDD2A,CRAMP1,VIM,MATK,AASS,FARP2,VTA1,CEACAM21,PHLPP2,,NCAPD2,METTL13,SAMD4A,PHLDB1,,SLC45A4,CLPTM1L,,ANGEL1,PLEKHG6,,FAM76A,,IDS,PKD1,TSPAN9,ABCF2,SAMD4A,HEATR5B,PKD1,NSMAF,,QPCTL,ATP2C1,CAPG,,UTP18,IL20RA,NCAPD2,,CRAMP1,CD4,RSF1,FAM76A,HFE,TSPAN9,MMP25,ZFYVE16,CUL7,CRAMP1,,BIRC3,CDK11A,FBXO42,CLK1
ZNF582,EPHA3,PLEKHG6,DNASE1L1,PSMB1,CD44,RPUSD1,MPND,USH1C,NISCH,TRAPPC6A,AIFM2,,STAB1,CD9,GRAMD1B,CD74,,NDUFS1,PTCD2,,DDX11,SS18L2,,VTA1,,ZNF200,HEATR5B,APBA3,CHPF2,GRAMD1B,SEC62,HEATR5B,USP2,,PPP5C,SLC38A5,LCP2,,RNF216,GLT8D1,IFFO1,,E2F2,HFE,RAD51,TRAF3IP3,FYN,AKAP8L,RPS20,PHLPP2,XK,FMO3,,PHF20,CYTH3,AGA,ZC3H3
VSIG2,DSG2,SS18L2,DDX11,CDKL5,SNX1,TSR3,MGST1,GGCT,STAB1,MATK,ADAM28,,ZNF200,NCAPD2,DEPDC1,MNAT1,,BIRC3,NFE2L3,,MAMLD1,MPND,,BAZ1B,,HFE,SEC62,MBTD1,ATP6V0A1,BIRC3,RPS20,SEC62,RPL26L1,,MBTPS2,ZNF582,TRIT1,,ANLN,SLC11A1,HFE,,PSMB1,ABHD5,ANAPC4,VTA1,ELOA,MBTD1,CSDE1,AIFM2,MAP4,E2F2,,NCAPH2,CYB561,CLEC16A,ATP2C1
PHLDB1,YTHDC2,MPND,CD6,NADK,BMAL2,CRAMP1,ST3GAL1,GTF2IRD1,FUZ,CRAMP1,LCP2,,ELOA,NISCH,HSD17B6,SAMD4A,,AKAP11,RAD51,,UFL1,MGST1,,RANBP9,,NME1-NME2,UBE3C,UTP18,MAP2K3,DEPDC1,CSDE1,CSDE1,FBXO42,,PSMC4,PHLDB1,EPHA3,,PPP5C,PHLDB1,ELOA,,JARID2,AKAP8L,SDCCAG8,BAZ1B,MRC2,UTP18,REV3L,RETSAT,HDAC9,NADK,,TOMM34,SPAG9,C6,SLC11A1
HGF,XK,MGST1,TACC3,CYTH3,CENPQ,E2F2,MMP25,VPS41,ZNF200,CDKL5,ARAP2,,NME1-NME2,FUZ,NCAPH2,RB1CC1,,DEPDC1,FOXN3,,POLA2,ST3GAL1,,NCAPD2,,APBA3,REV3L,RNF216,MYOC,NR1H3,REV3L,REV3L,MRI1,,NUB1,MNAT1,DSG2,,BRCA1,SAMD4A,MRC2,,CDKL5,MBTD1,CUL1,RANBP9,NME1-NME2,RNF216,TRAF3IP3,CAPG,NOP16,DLEC1,,BTN3A1,AASS,EPHA3,AGPS
GCLM,SCML1,NFIX,MTMR11,CYB561,ABCF2,PSMB1,CSDE1,ARHGAP44,HFE,NADK,XK,,TSPAN9,ZNF200,TBPL1,BIRC3,,HSF2,LY75,,ZC3H3,MMP25,,STAB1,,MKS1,TRAF3IP3,TTC19,SH3YL1,NCAPH2,TRAF3IP3,TRAF3IP3,CDH10,,CLK1,SAMD4A,OFD1,,MBTPS2,GRAMD1B,BTBD7,,CDK11A,RNF216,PKP2,NCAPD2,TSPAN9,LARS2,POMT2,LCP2,RSF1,CYB561,,VRK2,PLEKHG6,PREX2,VSIG2
CCDC28A,USP28,HEATR5B,NUDCD3,AASS,CHPF2,CDKL5,UBE3C,SCIN,MRC2,SYPL1,NOP16,,APBA3,ELOA,HMGB3,GCLM,,NCAPH2,CUL1,,CAPN1,PKD1,,ZNF200,,MBTD1,POMT2,LARS2,DEPDC1B,AGPAT4,METTL13,POMT2,RAB27B,,ANGEL1,SPAST,XK,,ELOVL5,NDUFS1,UTP18,,NADK,RABGAP1,CTDP1,MRC2,UTP18,PLAUR,VTA1,EPHA3,HEXB,SPAG9,,TBPL1,SS18L2,XK,PHLDB1
RRAGD,NOP16,SEC62,CD74,HEATR5B,ATP6V0A1,SYPL1,REV3L,PNPLA4,MBTD1,SPAG9,RAD51,,MBTD1,MRC2,BAK1,TOMM34,,SEC63,PHF21B,,RGPD5,SEC62,,FYN,,UTP18,VTA1,ANLN,MYOM2,MIPEP,UQCRC1,VTA1,LSG1,,HEBP1,GRAMD1B,NOP16,,MVP,AKAP11,RNF216,,SYPL1,DCN,WNK1,APBA3,TTC19,WIZ,RANBP9,SNX29,PTCD2,CELSR3,,BAK1,MGST1,SCML1,HGF
NR1H3,NEDD4L,CSDE1,HGF,CSDE1,PIAS1,CYB561,FAM76A,CCDC124,UTP18,PLEKHG6,FOXN3,,RNF216,NME1-NME2,CENPQ,TBPL1,,KPNA6,SOAT1,,CHDH,RPS20,,ELOA,,RNF216,BAZ1B,CEP68,ZZZ3,VRK2,STARD3NL,METTL13,AIFM2,,MAMLD1,NDUFS1,SNX29,,PGM3,GLRX2,TTC19,,CYB561,MAP4K3,OGFR,MBTD1,LARS2,DCN,METTL13,RSF1,RAD51,PLEKHG6,,FAM13B,CRY1,SNX29,MNAT1
SEC63,PTCD2,VTA1,ZRANB1,REV3L,MYOC,SPAG9,TRAF3IP3,CEACAM21,TTC19,SS18L2,MRTO4,,TTC19,MBTD1,CHPF2,FAM13B,,B4GALT7,PKP2,,CLCA4,CSDE1,,MRC2,,TTC19,RANBP9,MAP4K3,USP2,TBPL1,NCAPD2,STARD3NL,RETSAT,,MDH1,STRAP,PPP1R3F,,RWDD2A,TYMP,PTBP1,,AASS,ERCC1,ACAA1,TTC19,PLAUR,QPCTL,CD9,HEXB,LY75,MGST1,,CENPQ,NFIX,KITLG,SAMD4A
RNASET2,BCAR1,CD9,MNAT1,FAM76A,SH3YL1,AASS,POMT2,NOS2,LARS2,MGST1,LY75,,PIK3C2A,RNF216,MYOC,CENPQ,,VRK2,CAMK2B,,GLT8D1,UBE3C,,TSPAN9,,PTBP1,METTL13,ZBTB32,MAT2B,CENPQ,STAB1,GIPR,LCP2,,COX15,DEPDC1,LIMA1,,CLK1,NCAPH2,LARS2,,SS18L2,ELOVL5,GUCY1B1,PTBP1,WIZ,CEP68,IFFO1,BCAR1,ARID4B,PKD1,,ABCF2,MMP25,NEDD4L,OSBPL5
CD44,RAD51,STAB1,RUNX3,TRAF3IP3,DEPDC1B,MGST1,VTA1,BLTP2,PPP5C,NFIX,ARID4B,,ANLN,PIK3C2A,SH3YL1,SARS1,,TBPL1,DGKG,,ATP2C1,REV3L,,BTBD7,,PIK3C2A,STARD3NL,TYROBP,TRIO,ABCF2,FUZ,NISCH,TRIT1,,WAS,HSD17B6,RAD51,,ANGEL1,CD44,RABGAP1,,MPND,EHD3,ZNF112,PLAUR,RABGAP1,MAP4K3,NISCH,RAD51,SDCCAG8,HEATR5B,,MAP2K3,HEATR5B,PPP1R3F,RNF10
KCNG1,FOXN3,FUZ,SLC45A4,VTA1,TIMP2,NFIX,METTL13,GAS7,EXTL3,MMP25,SDCCAG8,,CEP68,ANLN,RFC1,EIPR1,,BMAL2,YBX3,,RUFY3,FAM76A,,APBA3,,RABGAP1,NCAPD2,ERCC1,CLEC16A,ATP6V0A1,ZNF200,ZNF200,CUL7,,RGPD5,TYMP,HEBP2,,HEBP1,MIPEP,QPCTL,,NFIX,NUB1,SUGP2,RABGAP1,QPCTL,BRCA1,FUZ,LY75,CUL1,RPS20,,GABARAPL2,RPS20,JKAMP,ERP44
SNX1,MRTO4,ZNF200,GRAMD1B,RANBP9,ZZZ3,ST3GAL1,IFFO1,MATK,MAP4K5,PKD1,CUL1,,LDAF1,RABGAP1,MYOM2,ATP6V0A1,,BAK1,QSER1,,ATP1A2,TRAF3IP3,,MKS1,,PPP5C,IFFO1,CD22,PSMA4,APBA2,HFE,HFE,OFD1,,ISL1,NCAPH2,TTC17,,GPRC5A,TBPL1,BRCA1,,ST3GAL1,CLK1,ABCA7,DCN,CEP68,EXTL3,CD4,ARID4B,USP36,CSDE1,,SH3YL1,UBE3C,MCUR1,BIRC3
TBPL1,ARID4B,ELOA,RNH1,UQCRC1,MAT2B,MMP25,STAB1,RPUSD1,MVP,RHOBTB2,HPF1,,BRCA1,CEP68,FBXO42,RNF19A,,FAM13B,CDH3,,ZNF582,POMT2,,UTP18,,CEP68,NISCH,SEMA3B,SPATA7,MAP2K3,MRC2,FMO1,ATOSA,,GLT8D1,TOMM34,MRTO4,,TACC3,BAK1,ELOVL5,,MMP25,MAMLD1,DDX20,PPP5C,MAP4K3,UBR7,HFE,SYNE2,HPF1,UBE3C,,DEPDC1B,REV3L,RAD51,DEPDC1
FAM13B,ATP9A,MRC2,DEF6,STARD3NL,DCUN1D1,RPS20,FUZ,CACNA2D2,NUB1,SEC62,ZNF280C,,PRICKLE3,MAP4K3,CLEC16A,PEX3,,ARHGAP31,ZNF112,,SYT13,VTA1,,RNF216,,BRCA1,IDS,MBTPS2,EPHA3,RNF19A,NME1-NME2,ELOA,XK,,RUFY3,RNASET2,KCNQ1,,ZC3H3,ARHGAP31,DDX11,,PKD1,TACC3,ANKS1A,BRCA1,TYROBP,MAP4K5,FYN,PHF21B,ZNF280C,REV3L,,MYOM2,FAM76A,MRTO4,VIM
RANBP3,ZNF280C,UTP18,CCDC28A,NCAPD2,TRIT1,CSDE1,IDS,BAIAP3,PGM3,RPS20,ATP11B,,EXTL3,BRCA1,ZFYVE16,GABARAPL2,,ABCF2,ELMO2,,SNAI2,METTL13,,TTC19,,ERCC1,ZNF200,PRICKLE3,YTHDC2,GABARAPL2,APBA3,MRC2,USP28,,SLC11A1,BTN3A1,ARID4B,,MDH1,APBA2,TACC3,,HEATR5B,UFL1,ZNF76,MBTPS2,BRCA1,PSMC4,NME1-NME2,SOAT1,TMCC3,FAM76A,,ZZZ3,VTA1,KCNQ1,MIPEP
EIPR1,PKP2,RNF216,SEC63,IFFO1,ARAP2,UBE3C,HFE,PIGQ,CLK1,CSDE1,PPP1R12A,,CALCOCO1,ERCC1,RIPOR1,SH3YL1,,CHPF2,INTS13,,HGF,STARD3NL,,LARS2,,ELOVL5,MRC2,EXTL3,ARAP2,USP2,MBTD1,TSPAN9,TSPAN17,,AGPS,PRKCH,SDCCAG8,,BID,MAP2K3,CAPN1,,SEC62,ZC3H3,GNAI3,PSMC4,ERCC1,MVP,MBTD1,TMCC3,PITHD1,TRAF3IP3,,FLT4,SPRTN,ENTPD2,TBPL1
ALG1,PITHD1,RABGAP1,B4GALT7,STAB1,XK,FAM76A,ELOA,E2F2,HEBP1,REV3L,SLC2A3,,MVP,ELOVL5,PHLPP2,DEPDC1B,,ATP6V0A1,NGFR,,SAMD4A,CD9,,PLAUR,,UBR7,NME1-NME2,ALOX5,XK,FLT4,RNF216,BTBD7,NOP16,,VSIG2,B4GALT7,ATP9A,,RGPD5,GABARAPL2,MDH1,,UBE3C,MDH1,IPO5,RWDD2A,EXTL3,NUB1,UTP18,SLC2A3,YIPF1,VTA1,,FBXO42,CD9,ARID4B,TFB1M
RFC1,CDK14,CEP68,POU2F2,FUZ,GOPC,POMT2,TSPAN9,PSMB1,UFL1,TRAF3IP3,CTDP1,,NUB1,PSMC4,RAB27B,MYOM2,,ASTE1,ABCA7,,RTF2,NCAPD2,,DCN,,MVP,AKAP8L,UBR7,GOPC,MFAP3,TTC19,MBTD1,SNX29,,MNAT1,VRK2,HPF1,,IL20RA,MYOC,GLT8D1,,REV3L,BID,ADAT1,DDX11,UBR7,PGM3,RNF216,YBX3,UNKL,BAZ1B,,MAT2B,NISCH,TBC1D22A,RABEP1
TBC1D23,PPP1R12A,TYROBP,SNX1,HFE,NOP16,VTA1,APBA3,CDKL5,ZC3H3,POMT2,STYK1,,PGM3,MVP,DCUN1D1,USP2,,GABARAPL2,GLP2R,,ZDHHC6,IFFO1,,QPCTL,,PGM3,RNF216,EHD3,TSPAN17,AGA,LARS2,UTP18,H6PD,,SAMD4A,TBPL1,CTDP1,,GLT8D1,SH3YL1,ATP2C1,,POMT2,GLT8D1,MAP2K4,HEBP1,MAP4K5,RNF14,TTC19,GNA15,WNK1,SPRTN,,ZFYVE16,FUZ,ATP9A,BAK1
MYOM2,YIPF1,LDAF1,SLC39A9,ELOA,EPN3,BAZ1B,MBTD1,CDK11A,WAS,VTA1,WNK1,,CLK1,NUB1,LCP2,FBXO42,,DEPDC1B,ANKRD44,,RNH1,GIPR,,PPP5C,,POLR3B,TTC19,PSMC4,NOP16,MAT2B,RABGAP1,RNF216,EPN3,,SPAST,TFB1M,STYK1,,ATP2C1,NSMAF,AGPS,,VTA1,SLC38A5,ELAVL1,POLA2,MVP,DNASE1L1,LARS2,ACAA1,ACAA1,DYRK4,,RAI14,IDS,CUL1,SARS1
FLT4,DGKG,ERCC1,TFB1M,CLCN6,CLPTM1L,SPRTN,UTP18,CYTH3,BID,SPRTN,ACAA1,,POLR3B,CLK1,TRIT1,MFAP3,,NSMAF,MAP2K4,,ERP44,NISCH,,MBTPS2,,RNF14,ANLN,MVP,ZNF800,PHLPP2,CEP68,SYT7,CLPTM1L,,AKAP11,BAK1,WNK1,,SLC38A5,MYOM2,ATP1A2,,RANBP9,RUFY3,SLC9A3,ZC3H3,NUB1,DDX11,PIK3C2A,CDH3,CDH3,STARD3NL,,SLC66A1,CD4,RC3H2,ALG1
AGA,MXD1,MBTPS2,BAK1,NME1-NME2,PPP1R3F,METTL13,RNF216,SYPL1,RGPD5,METTL13,APPBP2,,DNASE1L1,GPRC5A,CUL7,AGA,,TIMP2,ASB1,,AKAP11,STAB1,,PRICKLE3,,DNASE1L1,RABGAP1,NUB1,CLPTM1L,SPDL1,BRCA1,LARS2,RAD51,,EHD2,ARHGAP31,GNA15,,RUFY3,ZZZ3,ZRANB1,,SPRTN,ZNF582,FGFR2,CAPN1,RNF14,MAMLD1,RABGAP1,VMP1,APPBP2,CD9,,CDH10,HFE,TRAF3IP2,RNF19A
TRIO,YBX3,PRICKLE3,ARHGAP31,TSPAN9,PTCD2,NCAPD2,TTC19,CYB561,IL20RA,NCAPD2,SEZ6,,DDX11,TACC3,PHKA2,EDC4,,MYOM2,CLDN18,,GLRX2,FUZ,,MAP4K5,,MAMLD1,QPCTL,DDX11,NEDD4L,PSMA4,SEMA3B,PLAUR,AKR7A2,,CCDC28A,EIPR1,ACAA1,,SLC11A1,USP2,SAMD4A,,METTL13,VSIG2,THUMPD1,SLC30A9,DNASE1L1,ZC3H3,CEP68,APPBP2,SEZ6,FUZ,,INPP4A,ELOA,SOAT1,PEX3
CLEC16A,GNA15,MAP4K5,CENPQ,MBTD1,MCUR1,IFFO1,DPF1,SPAG9,GLT8D1,IFFO1,ZNF275,,HEBP1,YAF2,EPHA3,TRIO,,FBXO42,ATG2B,,GCLM,MRC2,,EHD3,,POLA2,LDAF1,UFL1,PTCD2,ADAM28,MBTPS2,DCN,ANAPC4,,HSD17B6,ALG1,CDH3,,ATP1A2,METTL1,RTF2,,UQCRC1,SYT13,PLPP1,MTMR11,DDX11,RUFY3,ZBTB32,SEZ6,MTMR1,IDS,,PSMA4,MRC2,PITHD1,GABARAPL2
C6,ACAA1,PSMC4,SARS1,UTP18,RAD51,NISCH,SYT7,AASS,ATP2C1,GIPR,ADCK1,,GPRC5A,RGPD5,PREX2,CLEC16A,,BOD1L1,DDX3Y,,EHD2,TSPAN9,,PGM3,,CAPN1,MBTPS2,COX15,RAD51,BARX2,PRICKLE3,QPCTL,TRAPPC3,,TOMM34,ABCF2,ELMO2,,PHLDB1,PI4K2B,RNH1,,STARD3NL,SNAI2,PHKA1,CCDC88C,GPRC5A,ATP1A2,BRCA1,MTMR1,LIMCH1,LRRC23,,PARP3,TSPAN9,ALDH18A1,SH3YL1
STAU2,ELMO2,NUB1,RANBP3,RNF216,HEBP2,ZNF200,LARS2,MGST1,SLC38A5,IDS,RNF4,,TACC3,NUDCD3,ATOSA,RAB27B,,CDH1,TRAM1,,RRAGD,APBA3,,RNF14,,SLC30A9,ELOVL5,RGPD5,MSMO1,CUL7,UBR7,LDAF1,ARID4B,,SEC63,MAP2K3,SEZ6,,ZRANB1,ZFYVE16,NDUFS1,,NCAPD2,HGF,PKM,RGPD5,UFL1,ZNF582,ELOVL5,LIMCH1,BTBD1,FMO1,,LCP2,APBA3,CTDP1,VCL
TDP1,EIF4B,PGM3,ALG1,TTC19,MRTO4,MRC2,PIK3C2A,CRY1,SLC11A1,ZNF200,ATP2C2,,CCDC88C,CLCA4,NEDD4L,RETSAT,,SLC66A1,RHOA,,PHF20,AKAP8L,,DNASE1L1,,CCDC88C,PSMC4,GLT8D1,TTC17,EPHA3,PSMC4,MBTPS2,TBC1D22A,,CD44,RNF19A,ZNF275,,MNAT1,SLC66A1,STRAP,,IFFO1,MNAT1,DNTTIP2,GLT8D1,ZC3H3,PHLDB1,EHD3,CNN2,ANKS1A,MRC2,,TRIT1,MKS1,STYK1,ADSS2
