adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,sole of foot,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
NCBP3,ZNF207,ZNF207,MATR3,MATR3,UQCRC1,,WWTR1,RPS20,RANBP9,WIZ,,TSR3,,SYPL1,CD93,UBR7,CAPN1,RNF14,CCDC88C,,UBE3C,TSR3,,ZCCHC8,PRICKLE3,,PROM1,,PHKA2,WIZ,PRDM11,ZNF207,YAF2,TUBG2,PTBP1,NUDCD3,,CEACAM21,PRDM11,MPND,NRL,MATR3,ZNF839,PRSS8,,AKAP8L,MRC2,SYPL1,MTMR1,PARP3,ENTPD2,,EDC4,RPS20,CSDE1,,GGCT,,CAPN1,PTBP1,POLA2,SLC39A9
PTPN23,UQCRC1,UQCRC1,WWTR1,STEEP1,NCAPD2,,TTC27,BAZ1B,ZNF207,ERCC1,,PSMB1,,AASS,CD68,RWDD2A,CCDC88C,CAPN1,YAF2,,BAZ1B,PSMB1,,PIAS1,ALOX5,,LUC7L,,ARHGAP6,TYROBP,SNAI2,CD9,MATR3,PHF23,PIK3C2A,WWTR1,,LUC7L,MRE11,CRY1,SAG,WWTR1,ZDHHC6,FNIP2,,PTBP1,BTBD7,AASS,HIPK2,THAP3,FAM114A2,,THAP3,CSDE1,ZNF207,,COX10,,SLC30A9,PIK3C2A,CAPN1,IKZF2
ACACB,NISCH,NCAPD2,TTC27,TTC27,NISCH,,PRDM11,RANBP9,UQCRC1,CALCOCO1,,CDKL5,,SS18L2,FOXJ1,POLR3B,YAF2,MTMR11,MATR3,,ZNF207,CDK11A,,GABARAPL2,SLC30A9,,TSR3,,H6PD,SEMA3B,MRE11,NCAPD2,TTC27,THAP3,WIZ,STEEP1,,TSR3,ZNF839,ZNF207,MPP1,STEEP1,ALAS1,THRAP3,,PIK3C2A,AKAP8L,SS18L2,EYA2,CTNNA1,TAB2,,AIFM2,VTA1,UQCRC1,,GTF2IRD1,,CCDC88C,WIZ,MTMR11,PNPLA6
MCAM,IDS,IDS,SNAI2,PRDM11,LRRC23,,SYT13,SPRTN,STARD3NL,POLR3B,,CDK11A,,ST3GAL1,CNN1,RNF14,MATR3,CCDC88C,STEEP1,,CD9,SYPL1,,MYOM2,CCDC88C,,PSMB1,,PER3,ALOX5,SPAST,IDS,PRDM11,CTNNA1,SEMA3B,TTC27,,PSMB1,GLRX2,UQCRC1,SLC6A6,PRDM11,KPNA6,PUM2,,ANLN,PTBP1,MGST1,SLC9A3R2,ARHGAP6,ZFR,,LCP2,ZNF207,IDS,,PAF1,,YAF2,CD22,CCDC88C,ZCCHC8
FBLN1,CLCN6,BTK,MRE11,SNAI2,CLCN6,,SNAI2,ZNF207,HFE,RNF14,,SS18L2,,HEATR5B,APOE,CAPN1,TTC27,MATR3,TTC27,,NCAPD2,SS18L2,,TUBG2,MATR3,,JARID2,,FNIP2,UBR7,ZNF839,LRRC23,MRE11,WDR37,EXTL3,MRE11,,JARID2,CD44,CD9,PDE6A,SNAI2,VIM,ZFR,,WIZ,PIK3C2A,CRY1,SPEN,MAP4,TRAF3IP2,,PHKA2,UQCRC1,ELOA,,VPS41,,MATR3,SEMA3B,YAF2,PIAS1
UBE2K,APBA3,HFE,SERPINB1,MRE11,APBA3,,NCDN,UQCRC1,CLCN6,CAPN1,,MPND,,RPS20,PLVAP,MTMR11,PRDM11,WWTR1,PRDM11,,LRRC23,MPND,,FLT4,WWTR1,,NADK,,AKR7A2,MVP,ALAS1,CLCN6,ZNF839,CTPS2,POLR3B,KPNA6,,CDKL5,BCLAF1,NISCH,PDE6B,MRE11,KCNG1,CCAR1,,DCN,ANLN,ST3GAL1,MYLK,FAM120A,POLR3E,,DTNBP1,STAB1,BTBD7,,ELAC2,,WWTR1,CALCOCO1,MATR3,ASTE1
LIPE,AKAP8L,BTBD7,ZDHHC6,ZNF839,MKS1,,MRE11,STARD3NL,ABHD5,SLC30A9,,CRY1,,CSDE1,MYH11,MATR3,SYT13,TTC27,MRE11,,HFE,CRY1,,BOD1L1,TTC27,,TFAP2B,,THRAP3,NUB1,STRAP,NME1-NME2,ALAS1,TPR,ANGEL1,KCNG1,,CDK11A,SLC39A9,IDS,MTNR1B,ERP44,BTN3A1,LZTS1,,SEMA3B,WIZ,MMP25,TBC1D1,H6PD,FLYWCH1,,C12orf4,IDS,AKAP8L,,ARSD,,STEEP1,UBR7,TTC27,FAM136A
PUM3,MBTD1,MKS1,ALAS1,STRAP,ABHD5,,RTF2,CD9,AKAP8L,CCDC88C,,ST3GAL1,,ZNF207,PDGFRA,TTC27,MRE11,PRDM11,ZNF839,,FYN,NFIX,,PARP3,MRE11,,SYPL1,,HHAT,POLR3B,DEF6,APBA3,CCDC28A,MAP4,CAPN1,MIPEP,,TFAP2B,IKZF2,BTK,MGARP,ALAS1,SNX1,TNK2,,ELOVL5,BRCA1,HEATR5B,POLR1H,CUL1,GATB,,ARHGAP6,ELOA,TTC19,,PRSS21,,TTC27,RWDD2A,CYP24A1,BOD1L1
DELE1,TTC19,TTC19,BIRC3,VIM,AKAP8L,,AGPAT4,NISCH,UTP18,YAF2,,HEATR5B,,UQCRC1,PSAT1,PRDM11,ZNF839,SYT13,ALAS1,,CLCN6,ST3GAL1,,THAP3,ALAS1,,AASS,,ZFR,DDX11,NCAPH2,AKAP8L,KPNA6,FAM120A,SLC30A9,PRKCH,,SPAG9,ATP6V0A1,HFE,SPTBN5,GLRX2,BCLAF1,BICRA,,ALOX5,ALOX5,ZNF207,STOML1,TAB2,CCAR1,,MRPS10,AKAP8L,PTBP1,,CCDC124,,PRDM11,POLR3B,PRDM11,CDH1
CCNT2,PTBP1,PTBP1,VIM,CD44,MBTD1,,BMAL2,HFE,TTC19,MATR3,,RANBP9,,IDS,KRT7,MRE11,ZDHHC6,SNAI2,CCDC28A,,NME1-NME2,RPS20,,CTNNA1,KPNA6,,SS18L2,,IL17RB,GPRC5A,VIM,MBTD1,CD44,H6PD,MTMR11,BCLAF1,,PLEKHG6,ASTE1,BTBD7,ARL3,SEC63,SLC39A9,RNF4,,CALCOCO1,CLDN11,UQCRC1,TP53BP1,ZFR,GPBP1,,RSF1,PTBP1,PIK3C2A,,PAFAH1B1,,SNAI2,RNF14,MRE11,MTREX
TNPO1,PIK3C2A,SYT7,CD44,MIPEP,PTBP1,,BCLAF1,ELOA,SYT7,NUDCD3,,ZNF207,,PRSS3,DYSF,ZDHHC6,ALAS1,MRE11,NCAPH2,,BTBD7,UBE3C,,DSG2,AGPAT4,,MPND,,GATB,MTMR11,RNASET2,PTBP1,BCLAF1,RFC2,CCDC88C,ZCCHC8,,SS18L2,GABARAPL2,MKS1,PDE6H,KPNA6,TFB1M,ST3GAL6,,CLDN11,MVP,CD9,HDAC4,TRAF3IP2,CS,,H6PD,PIK3C2A,WIZ,,TRAPPC6A,,MRE11,CD6,ZNF839,PNKP
TDRD3,WIZ,ANLN,MIPEP,BCLAF1,LARS2,,PNPLA6,CLCN6,PIK3C2A,WWTR1,,UQCRC1,,BTBD7,IL33,KPNA6,RNASET2,RNF10,KPNA6,,APBA3,RANBP9,,ATP6V1H,B4GALT7,,MGST1,,DNAJC25,CCDC88C,BTN3A1,LARS2,BAK1,MAPK9,DPEP1,PIAS1,,MPND,TBC1D23,AKAP8L,RB1,CD44,IKZF2,SBNO2,,POLR3B,POLR3B,IDS,SIRT2,POLR3E,TNPO3,,PER3,WIZ,RABGAP1,,ST7L,,FHL1,TACC3,ALAS1,THAP3
APLP2,ERCC1,WIZ,BRD9,SLC39A9,PLAUR,,ZCCHC8,TSPAN9,WIZ,STEEP1,,CD9,,APBA3,ATIC,RNASET2,BTN3A1,AKAP11,CD44,,MKS1,ZNF207,,C12orf4,BRD9,,CRY1,,CCAR1,WAS,PRKCH,PIK3C2A,IKZF2,FHIP1B,MATR3,FAM136A,,CRY1,TUBG2,TTC19,CRB2,KCNG1,ALG1,PFKP,,CAPN1,RNF14,PRSS3,MAOB,FLYWCH1,ERBB3,,ARID1B,RABGAP1,QPCTL,,TKTL1,,RNF10,CAPN1,GLRX2,CTNNA1
AGBL5,SEMA3B,CEP68,BCLAF1,TFB1M,WIZ,,PIAS1,AKAP8L,SEMA3B,TTC27,,STAB1,,MKS1,IDH1,KCNG1,BCLAF1,STRAP,PRKCH,,ABHD5,UQCRC1,,H6PD,BMAL2,,NFIX,,OGFR,MATR3,BCLAF1,PLAUR,PNPLA6,THRAP3,SLC38A5,CUL3,,ST3GAL1,MRI1,PTBP1,CDHR1,PRKCH,ZCCHC8,PHKA1,,CCDC88C,POLA2,BTBD7,UFD1,CCAR1,KARS1,,CYBA,ERCC1,CEP68,,LUC7L,,ZNF839,SLC30A9,CCDC28A,POLR2B
ATRX,ELOVL5,TYROBP,ANK1,RABEP1,RABGAP1,,RFC1,PTBP1,PRICKLE3,PRDM11,,IDS,,AKAP8L,ENPEP,BTN3A1,SLC39A9,KPNA6,BCLAF1,,AKAP8L,NISCH,,PER3,BCLAF1,,ST3GAL1,,MPC1,ATP2C1,SLC39A9,WIZ,ZCCHC8,SDCCAG8,WWTR1,CASR,,RPS20,AGA,SYT7,ROM1,BCLAF1,FUT8,TP53BP1,,YAF2,CAPN1,MKS1,FBXW11,SFSWAP,SPEN,,FNIP2,SEMA3B,ERCC1,,TSR3,,ZDHHC6,CCDC88C,RRAGD,TPR
MECOM,RWDD2A,SEMA3B,PNPLA6,IKZF2,LDAF1,,BOD1L1,SYT7,ALOX5,MRE11,,BTK,,TTC19,FBLN5,BCLAF1,IKZF2,VIM,SLC39A9,,MBTD1,IDS,,ARHGEF5,SLC39A9,,PKD1,,ACAA1,WWTR1,RABEP1,ERCC1,ASTE1,NOP58,STEEP1,TUBG2,,UBE3C,BOD1L1,PIK3C2A,POU4F1,SLC39A9,PIAS1,MEF2A,,WAS,CCDC88C,TTC19,SMARCE1,BICRA,GSTO2,,LY75,RWDD2A,SEMA3B,,CRAMP1,,AKAP11,YAF2,KPNA6,HDAC9
NFX1,POLR3B,ELOVL5,ZCCHC8,PNPLA6,ERCC1,,TRIO,WIZ,RWDD2A,ALAS1,,CLCN6,,PTBP1,CDH11,SLC39A9,PNPLA6,B4GALT7,BAK1,,PTBP1,CLCN6,,FNIP2,PNPLA6,,HEATR5B,,ISOC2,STEEP1,BAK1,SEMA3B,TBC1D23,ZFR,TTC27,AGA,,RANBP9,CDH1,ANLN,RPGR,IKZF2,ASTE1,TTC7A,,MATR3,WAS,PTBP1,FERMT2,HIPK2,YBX1,,SZRD1,CAPN1,UBR7,,PSMB1,,GLRX2,WAS,CD44,NOP16
SEPHS1,RNF14,UBR7,PIAS1,ZCCHC8,PRICKLE3,,PNKP,RABGAP1,POLR3B,GLRX2,,BTBD7,,SYT7,LRRC46,IKZF2,ZCCHC8,SNX1,IKZF2,,WIZ,APBA3,,USE1,FUT8,,UBE3C,,TSPAN32,TTC27,SARS1,PRICKLE3,NSUN2,GDI2,VSIG2,CDH1,,ZNF207,PHF23,WIZ,KCNB1,ARHGAP31,TBC1D23,PYGM,,ATP2C1,MATR3,SYT7,GLI2,TNPO3,ATXN3,,ZFR,MDH1,CAPN1,,CDK11A,,STRAP,MATR3,AGPAT4,RSF1
RTRAF,CAPN1,MVP,APBA2,PIAS1,CALCOCO1,,THAP3,TYROBP,RNF14,RRAGD,,MKS1,,ANLN,FCGR2A,PNPLA6,PIAS1,BCLAF1,ARHGAP31,,CEP68,MKS1,,THRAP3,PIAS1,,RANBP9,,CTSA,MARCO,PNPLA6,MVP,CDH1,PPP1R12A,PRDM11,PNKP,,BTK,RAB27B,CEP68,SCUBE1,PNPLA6,CUL3,NUCKS1,,STEEP1,ATP2C1,PIK3C2A,NCBP3,EYA2,STOML1,,TRAF1,SLC30A9,CCDC88C,,SYPL1,,UBR2,TTC27,B4GALT7,PER3
KHSRP,SLC30A9,RWDD2A,RNF19A,APBA2,UBR7,,HSPA5,SEMA3B,CAPN1,KPNA6,,AKAP8L,,WIZ,CRABP2,ALG1,FAM136A,SLC39A9,ZCCHC8,,MAP4K3,AKAP8L,,GINM1,RFC1,,ZNF207,,SBNO2,PRDM11,PIAS1,RWDD2A,MTREX,RIOK2,SNAI2,THAP3,,ELOA,THAP3,TYROBP,RHO,FUT8,AGA,PIGB,,PRDM11,STEEP1,ANLN,ZNF37A,PKN2,MEF2A,,PRDM1,CCDC88C,YAF2,,SPAG9,,RRAGD,PRDM11,BCLAF1,ARID1B
PPP1R13B,CCDC88C,POLR3B,FAM136A,ASTE1,MVP,,TPR,PRICKLE3,MDH1,RNASET2,,TTC19,,RABGAP1,ROPN1L,PIAS1,TUBG2,IKZF2,PIAS1,,LDAF1,MBTD1,,PUM2,CUL3,,UQCRC1,,FAM107B,SNAI2,STAP1,POLR3B,STAU2,DNAJC25,MRE11,CTNNA1,,CLCN6,CTNNA1,SEMA3B,HCN1,PIAS1,CDH1,GNB5,,SNAI2,TTC27,WIZ,ACTB,ERBB3,RORA,,FLYWCH1,YAF2,MATR3,,AASS,,KPNA6,SNAI2,TFB1M,THOC3
ANAPC5,YAF2,CD6,VCL,RNF19A,RWDD2A,,MAP4,EXTL3,SLC30A9,CD44,,PTBP1,,CEP68,ZEB1,FAM136A,RPL26L1,FAM13B,ASTE1,,CALCOCO1,TTC19,,ZFR,MFAP3,,CD9,,ACSM2B,MRE11,TBC1D23,RNF14,PHF23,CCAR1,RNF10,WDR37,,MKS1,DSG2,UBR7,SLC13A4,PEX3,MTREX,UFD1,,CD74,PRDM11,RABGAP1,REXO2,KARS1,PTPN3,,CDK17,MATR3,WWTR1,,MPND,,VIM,MRE11,RABEP1,MPHOSPH9
OAS1,MATR3,TACC3,RFC1,FAM136A,POLR3B,,RRM2B,ALOX5,CCDC88C,PRKCH,,SYT7,,TYROBP,TAGLN,TBC1D23,MRI1,RANBP3,FAM136A,,RWDD2A,PTBP1,,PKP2,BOD1L1,,NCAPD2,,MTFR1,FHL1,RPL26L1,DNASE1L1,THAP3,SNRNP40,ERP44,CTPS2,,AKAP8L,CTPS2,MVP,CRABP1,RPL26L1,PNKP,JMJD6,,MRE11,SNAI2,CEP68,MLH1,YBX1,SMG6,,SLC2A3,WWTR1,STEEP1,,NFIX,,PRKCH,SPAST,BAK1,USE1
FUS,TTC27,CAPN1,TBC1D23,CUL3,RNF14,,ZNF800,CALCOCO1,YAF2,SNX1,,PIK3C2A,,LDAF1,CAPSL,TUBG2,PI4K2B,PNPLA6,TUBG2,,POLR3B,PIK3C2A,,FLYWCH1,TRIO,,IDS,,ROGDI,ZDHHC6,PI4K2B,POLA2,CTNNA1,MRPS35,AKAP11,POLR2B,,PTBP1,DTNBP1,RWDD2A,CPLX4,CDH1,PHF23,WDR1,,ZDHHC6,CD74,TYROBP,PPP1R12B,POLR1H,ATP6AP1,,WNK1,STEEP1,TTC27,,RHOBTB2,,BRD9,RNF10,IKZF2,TRAPPC3
RCOR1,PRDM11,MTMR11,CUL3,TUBG2,DNASE1L1,,MRPS10,PGM3,MATR3,BCLAF1,,ANLN,,SEMA3B,GJA1,RPL26L1,TRIO,ALG1,RPL26L1,,DNASE1L1,WIZ,,DNAJC25,PNKP,,CLCN6,,FTSJ1,ERP44,EDC4,CAPN1,POLR2B,CS,GLRX2,TPR,,PIK3C2A,TSPAN17,POLR3B,GNGT2,MTREX,PARP3,FAM50A,,ALAS1,MRE11,SEMA3B,SIRT6,ATXN3,FAM50A,,CCAR1,TTC27,VSIG2,,BAZ1B,,BCLAF1,ZNF839,PNPLA6,THRAP3
ALKBH5,MRE11,WAS,TUBG2,MRI1,CAPN1,,CELF2,RWDD2A,NUDCD3,IKZF2,,WIZ,,UBR7,CLGN,MRI1,CDH1,ZCCHC8,NSUN2,,POLA2,RABGAP1,,CTDP1,THAP3,,APBA3,,IFT80,ALAS1,MTREX,SLC30A9,TPR,POLD1,SEC63,ARHGAP6,,WIZ,RRM2B,CD6,ANKRD33,PNKP,RETSAT,XRCC1,,AKAP11,ZNF839,ELOVL5,FBLN1,PFKP,CYBRD1,,MRPS35,VSIG2,PRDM11,,RANBP9,,SLC39A9,BIRC3,ZCCHC8,GALC
ZFHX4,RNF10,MATR3,PI4K2B,CDH1,SLC30A9,,FAM120A,POLR3B,ATP2C1,PNPLA6,,RABGAP1,,CLDN11,SLC26A2,PI4K2B,MTREX,PIAS1,MRI1,,CAPN1,SEMA3B,,CCAR1,HSPA5,,MKS1,,NUCKS1,AKAP11,PHF23,CCDC88C,HDAC9,HIPK2,KPNA6,RRM2B,,RABGAP1,FAM120A,POLA2,BEST1,PHF23,CTNNA1,FERMT2,,DEF6,AKAP11,CLDN11,FAP,PKM,RHOBTB1,,TNK2,PRDM11,MRE11,,DYRK4,,IKZF2,AKAP11,PIAS1,NOP58
HNRNPC,ALAS1,CLCA1,BOD1L1,MTREX,CCDC88C,,PER3,RNF14,CNTN1,ALG1,,CEP68,,MVP,PWWP3B,TRIO,PNKP,TBC1D23,CDH1,,MTMR11,PRICKLE3,,MPC1,WDR37,,ABHD5,,MAOB,GLRX2,THAP3,YAF2,NOP16,EYA2,RNASET2,MRPS10,,DCN,PER3,CAPN1,CNGB3,THAP3,CNTLN,IGF2BP2,,VIM,DEF6,MVP,PIK3C3,HYAL2,FBXW11,,CS,SNAI2,SPAST,,ZNF207,,PNPLA6,STRAP,SH3YL1,ZFR
MFSD11,GLRX2,STEEP1,MTREX,PNKP,YAF2,,RCN1,POLA2,WWTR1,ZCCHC8,,ERCC1,,PGM3,SLC34A2,CDH1,STAU2,CUL3,MTREX,,CCDC88C,EXTL3,,MRPS35,ATP6V1H,,AKAP8L,,RORA,HSD17B6,LCP2,MATR3,FAM120A,WDR18,KCNG1,FAM120A,,ERCC1,LIMA1,SLC30A9,VAT1L,BARX2,YTHDC2,GLI2,,RNASET2,NCAPH2,PGM3,XRCC5,COASY,SART3,,APPBP2,MRE11,RNF10,,UQCRC1,,ZCCHC8,DEF6,VCL,PRDM1
FKBP5,STRAP,TTC27,PNKP,PHF23,MATR3,,DKK3,SLC30A9,ATP1A2,PIAS1,,EHD3,,RWDD2A,TPPP3,MTREX,THAP3,TUBG2,PNKP,,YAF2,CALCOCO1,,CS,TPR,,MBTD1,,NDST1,KPNA6,PHKA2,WWTR1,PER3,DIP2B,BCLAF1,ARID1B,,SEMA3B,THOC3,MTMR11,ABCG4,CTNNA1,TPR,NCBP3,,CD44,SEC63,POLR3B,MKNK1,MAOB,RBMS2,,BICRA,ERP44,ZNF839,,STARD3NL,,PIAS1,NCAPH2,TBC1D23,FLYWCH1
SCD,UBR2,VSIG2,STAU2,THAP3,RALBP1,,AKR7A2,CCDC88C,TTC27,APBA2,,MVP,,POLR3B,IKZF3,PNKP,CTNNA1,RPL26L1,PHF23,,MATR3,RWDD2A,,BICRA,MAP4,,TTC19,,ADGRL1,VIM,WDR37,STEEP1,ARID1B,ATXN3,SLC39A9,JKAMP,,PRICKLE3,HEBP2,CCDC88C,LRIT3,CNTLN,HDAC9,ARHGEF10L,,BTN3A1,KPNA6,RNF14,DDX1,RORA,SIRT6,,ISOC2,ALAS1,ERP44,,IFFO1,,TBC1D23,KPNA6,TUBG2,DNAJC25
HNRNPM,KPNA6,PRDM11,PARP3,CTNNA1,AGPS,,THRAP3,YAF2,PRDM11,ASTE1,,NUB1,,RNF14,MSX1,PHF23,HSPA5,NSUN2,LSG1,,AGPS,POLR3B,,ISOC2,ZNF800,,PTBP1,,LNX1,RNASET2,CTPS2,TTC27,ARHGEF5,GOLGA5,IKZF2,HERPUD1,,EXTL3,TRAPPC3,YAF2,RP1L1,POLR2B,TSPAN17,SART3,,BCLAF1,VIM,HEBP1,DELE1,PTPN3,AMPH,,HIPK2,KPNA6,ALAS1,,LRRC23,,CUL3,VIM,NSUN2,WNK1
TRMT2A,RNASET2,CD74,THAP3,DSG2,STEEP1,,SDCCAG8,MATR3,SYT13,FAM136A,,RWDD2A,,HEBP1,S100A9,THAP3,DSG2,MFAP3,THAP3,,TTC27,CAPN1,,RNF4,CELF2,,SYT7,,SDHA,CD44,POLR2B,PRDM11,THOC3,THUMPD1,SARS1,THOC3,,UBR7,THRAP3,MATR3,PDE6G,WWC3,MRPS10,REXO2,,SLC39A9,CD44,CAPN1,PGR,DAPP1,ACER3,,EYA2,AGPAT4,AKAP11,,CLCN6,,TUBG2,RNASET2,MRI1,CCAR1
MED15,BTN3A1,MRE11,LCP2,ATP6V1H,TTC27,,PTPRN,NUDCD3,MRE11,TBC1D23,,POLR3B,,CAPN1,MNDA,DCUN1D1,WDR37,METTL1,CTNNA1,,PRDM11,CCDC88C,,TSPAN32,FAM120A,,WIZ,,ABCB11,BCLAF1,DTNBP1,SNAI2,MPHOSPH9,ARFGEF1,PNPLA6,FNIP2,,POLR3B,ZFR,CLCA1,GRK1,MRPS10,FAM120A,RBMS2,,BAK1,PRKCH,CCDC88C,PALB2,AP3M2,SYNJ2,,TRAM2,MIPEP,NCAPH2,,MRC2,,MRI1,CD44,METTL1,SNRNP40
MAPK1,BCLAF1,RNF10,CNTLN,HDAC9,PRDM11,,NOP58,CNTN1,SPAST,TUBG2,,RNF14,,CCDC88C,DNALI1,CTNNA1,YTHDC2,AGA,TPR,,SNAI2,YAF2,,SUGP2,PER3,,CEP68,,GLI2,SLC39A9,USP28,MRE11,USE1,PFKP,ALG1,KCNQ1,,CAPN1,GATB,WWTR1,RGS9BP,H6PD,RCN1,SIRT6,,IKZF2,SNX1,YAF2,PDS5B,ATP6AP1,FKBP7,,DGKA,PRKCH,KPNA6,,MKS1,,TRIO,AGPAT4,CDH1,SFSWAP
LGALS1,SLC39A9,ZNF839,POLR2B,MRPS10,MRE11,,EIF2AK2,WWTR1,RTF2,BOD1L1,,CD6,,DPEP1,CYBB,HSPA5,CTPS2,BOD1L1,HDAC9,,MRE11,MATR3,,NTHL1,RCN1,,LDAF1,,BCS1L,IKZF2,HDAC9,SPAST,THRAP3,IFI35,ZCCHC8,THRAP3,,CCDC88C,CDK17,STEEP1,FSCN2,PER3,ARID1B,ACTN2,,ZCCHC8,BCLAF1,DPEP1,TXLNA,FAM50A,PUM3,,KARS1,BCLAF1,MIPEP,,AKAP8L,,CDH1,BTN3A1,MTREX,CS
HPS4,BAK1,BIRC3,ARAP2,FAM120A,ZNF839,,ZFR,STEEP1,GABRA1,CDH1,,POLA2,,MATR3,CAVIN2,DSG2,POLR2B,EDC4,NOP16,,ZNF839,WWTR1,,TRAM2,DKK3,,SEMA3B,,TTC38,PNPLA6,RRM2B,RNH1,ZFR,INPP5A,ATP6V0A1,HHAT,,YAF2,CCAR1,TTC27,TMEM221,EPN3,LIMA1,PIK3C3,,PIAS1,SLC39A9,MATR3,ATRX,FAM3A,DELE1,,ADAT1,IKZF2,PRKCH,,TTC19,,MTREX,PRKCH,PNKP,EIF4B
SNU13,IKZF2,DEF6,TPR,PER3,RB1CC1,,ZNF280C,ATP1A2,ZDHHC6,MTREX,,CAPN1,,NPC1L1,CD14,YTHDC2,MRPS10,CDH1,MRPS10,,ZDHHC6,STEEP1,,ERBB3,MAPK9,,CALCOCO1,,ACAT1,ZCCHC8,MRPS10,RB1CC1,PRDM1,DNAJA2,PIAS1,NOP58,,MATR3,MPC1,PRDM11,BCO2,RCN1,TTC17,ITCH,,APBA2,BAK1,NPC1L1,MECOM,CYBRD1,HSPB11,,NDUFB4,SARS1,BCLAF1,,PTBP1,,PNKP,POU2F2,PHF23,BICRA
PPP6R2,PNPLA6,NCAPH2,HDAC9,ARHGEF5,GLRX2,,TMCC3,TTC27,ALAS1,PNKP,,MTMR11,,CLCA1,DNAI2,TPR,FAM120A,PNKP,RSF1,,RNH1,TTC27,,NDUFB4,FHIP1B,,EHD3,,PLD1,ATP6V0A1,PER3,AKAP11,MTA3,MAOB,PEX3,SZRD1,,ATP2C1,MRPS35,CD74,RD3,LIMA1,KCNQ1,OSBPL6,,ASTE1,IKZF2,CLCA1,NFX1,PRKACA,FAM135A,,DIP2B,PNPLA6,SLC39A9,,PIK3C2A,,STAU2,BCLAF1,RAB27B,ISOC2
CYB5R3,ZCCHC8,VIM,RRM2B,LIMA1,STRAP,,MTA3,PRDM11,EHD2,STAU2,,CCDC88C,,WWTR1,SYNPO2,ARHGAP6,H6PD,PHF23,PER3,,RB1CC1,VSIG2,,SPEN,AKR7A2,,POLR3B,,GPC4,PIAS1,JKAMP,GLRX2,POLR3E,TESK2,FAM136A,GINM1,,WWTR1,CS,RUNX3,ABCA4,THRAP3,TRAPPC3,DDX1,,VCL,PNPLA6,WWTR1,ATXN7L3,RHOBTB1,PALB2,,SMARCD1,ALG1,IKZF2,,ANLN,,PHF23,SLC39A9,THAP3,EYA2
MCAT,PIAS1,RNASET2,MRPS10,MAPK9,TOMM34,,CAMK2B,CD74,KPNA6,PHF23,,YAF2,,TTC27,AGR3,MAP4,PER3,PARP3,ARID1B,,GLRX2,PRDM11,,FOXJ2,THRAP3,,CAPN1,,SIRT6,APBA2,MAPK9,NCAPH2,RIOK2,ATP6AP1,TBC1D23,EIF2AK2,,STEEP1,MRPS24,MRE11,LRIT2,EIF2AK2,THRAP3,CNOT4,,RFC1,ZCCHC8,STEEP1,XRN2,FBXW11,PDS5B,,SPI1,ZCCHC8,PNPLA6,,WIZ,,THAP3,RABEP1,CTNNA1,PKN2
PSMC6,APBA2,CD44,CELF2,USE1,CD44,,FLYWCH1,NCDN,VIM,THAP3,,DPEP1,,VSIG2,PPA1,HDAC9,RCN1,THAP3,ARHGEF5,,STRAP,SNAI2,,PPP2R5A,SDCCAG8,,MTMR11,,GPR137B,RFC1,CYBA,CD44,FLYWCH1,FAM50A,CUL3,PUM2,,TTC27,BICRA,SPAST,FMN1,ZFR,HHAT,PCNP,,TBC1D23,PIAS1,TTC27,ANAPC5,GLI2,EPYC,,ATXN3,FUT8,ALG1,,RABGAP1,,RETSAT,BAK1,DSG2,KARS1
SNW1,PEX3,BTN3A1,PER3,CUL1,AGPAT4,,CDK17,MRE11,AGPAT4,CTNNA1,,MATR3,,PRDM11,WT1,RRM2B,LIMA1,RETSAT,THOC3,,CCDC28A,MRE11,,SMARCD1,NOP58,,CCDC88C,,JADE1,TBC1D23,FOXN3,BCLAF1,MXD1,CYBRD1,CASR,USP13,,PRDM11,ISOC2,RNF10,RBP3,TRAF3IP2,CHRDL2,EXD2,,CUL3,APBA2,VSIG2,FUS,SRI,APLP2,,ROGDI,ASTE1,ZCCHC8,,ZBTB32,,TG,IKZF2,WDR37,SPEN
ERH,FAM136A,MIPEP,RFC2,EIF2AK2,PRKCH,,CCAR1,SPAST,B4GALT7,DSG2,,CLCA1,,CD74,APOD,MRPS10,PTGER3,ADAM28,MPHOSPH9,,VIM,ZNF839,,PFKP,EIF2AK2,,YAF2,,SLC25A43,CUL3,THRAP3,HMGB3,DNAJC25,RHOBTB1,RPL26L1,WNK1,,SYT13,TSPAN32,ALAS1,ENSG00000269035,SOAT1,EIF2AK2,MEF2C,,ZZZ3,ASTE1,PRDM11,ZBTB25,TTC38,TXLNA,,ROCK1,SH3YL1,FUT8,,LDAF1,,CTNNA1,ZCCHC8,YTHDC2,ZC3H15
